hanja,hangul,source
拠,거,xetexko-hanja_hangul.tab
操,조,xetexko-hanja_hangul.tab
要,요,xetexko-hanja_hangul.tab
塞,새,xetexko-hanja_hangul.tab
荒,황,xetexko-hanja_hangul.tab
隕,운,xetexko-hanja_hangul.tab
帯,대,xetexko-hanja_hangul.tab
基,기,xetexko-hanja_hangul.tab
脈,맥,xetexko-hanja_hangul.tab
舎,사,xetexko-hanja_hangul.tab
衛,위,xetexko-hanja_hangul.tab
確,확,xetexko-hanja_hangul.tab
認,인,xetexko-hanja_hangul.tab
選,선,xetexko-hanja_hangul.tab
択,택,xetexko-hanja_hangul.tab
修,수,xetexko-hanja_hangul.tab
彗,혜,xetexko-hanja_hangul.tab
颯,삽,xetexko-hanja_hangul.tab
達,달,xetexko-hanja_hangul.tab
変,변,xetexko-hanja_hangul.tab
更,경,xetexko-hanja_hangul.tab
編,편,xetexko-hanja_hangul.tab
関,관,xetexko-hanja_hangul.tab
情,정,xetexko-hanja_hangul.tab
報,보,xetexko-hanja_hangul.tab
説,설,xetexko-hanja_hangul.tab
聴,청,xetexko-hanja_hangul.tab
振,진,xetexko-hanja_hangul.tab
替,체,xetexko-hanja_hangul.tab
英,영,xetexko-hanja_hangul.tab
以,이,xetexko-hanja_hangul.tab
降,강,xetexko-hanja_hangul.tab
処,처,xetexko-hanja_hangul.tab
刻,각,xetexko-hanja_hangul.tab
残,잔,xetexko-hanja_hangul.tab
削,삭,xetexko-hanja_hangul.tab
録,록,xetexko-hanja_hangul.tab
成,성,xetexko-hanja_hangul.tab
源,원,xetexko-hanja_hangul.tab
沿,연,xetexko-hanja_hangul.tab
利,이,xetexko-hanja_hangul.tab
了,요,xetexko-hanja_hangul.tab
側,측,xetexko-hanja_hangul.tab
再,재,xetexko-hanja_hangul.tab
停,정,xetexko-hanja_hangul.tab
戻,태,xetexko-hanja_hangul.tab
窮,궁,xetexko-hanja_hangul.tab
爽,상,xetexko-hanja_hangul.tab
恐,공,xetexko-hanja_hangul.tab
怖,포,xetexko-hanja_hangul.tab
塗,도,xetexko-hanja_hangul.tab
準,준,xetexko-hanja_hangul.tab
備,비,xetexko-hanja_hangul.tab
徹,철,xetexko-hanja_hangul.tab
抗,항,xetexko-hanja_hangul.tab
義,의,xetexko-hanja_hangul.tab
危,위,xetexko-hanja_hangul.tab
潜,잠,xetexko-hanja_hangul.tab
襲,습,xetexko-hanja_hangul.tab
誓,서,xetexko-hanja_hangul.tab
厳,엄,xetexko-hanja_hangul.tab
然,연,xetexko-hanja_hangul.tab
常,상,xetexko-hanja_hangul.tab
伏,복,xetexko-hanja_hangul.tab
兵,병,xetexko-hanja_hangul.tab
態,태,xetexko-hanja_hangul.tab
勢,세,xetexko-hanja_hangul.tab
能,능,xetexko-hanja_hangul.tab
軍,군,xetexko-hanja_hangul.tab
群,군,xetexko-hanja_hangul.tab
街,가,xetexko-hanja_hangul.tab
岳,악,xetexko-hanja_hangul.tab
欧,구,xetexko-hanja_hangul.tab
互,호,xetexko-hanja_hangul.tab
的,적,xetexko-hanja_hangul.tab
在,재,xetexko-hanja_hangul.tab
状,상,xetexko-hanja_hangul.tab
況,황,xetexko-hanja_hangul.tab
